filename,label,preds
00_00000115,4,4
00_0101ffe9-20221217_210108,5,4
00_0164d58b-SAVE_20200118_153253,5,-1
00_0597dc42-IMG_20190430_213250,1,-1
00_0a0efb92-20210718_114534,2,2
00_0afe094b-IMG_20190614_202404,4,5
00_0d5008f9-IMG_20200228_200231,2,2
00_0f5ff61b-IMG_20200311_144009,3,3
00_11f464a5-IMG_20190501_070350,1,1
00_11fe2a47-SAVE_20200202_122110,1,1
00_1254ec0b-IMG_20200228_102126,3,3
00_13ddc7f9-20201201_130436,3,3
00_1710716f-IMG_20191025_212444,3,3
00_17d429f5-20220915_184531,5,-1
00_1af1b5f3-20220325_210800,4,4
00_1b086899-20201201_130501_1,3,3
00_1b5145df-IMG_20200228_153528,3,3
00_1c62a865-IMG_20191025_212334,3,-1
00_1ca83cc9-20221210_181957,3,-1
00_1d6c9c2f-IMG_20191025_212215,3,3
00_1fffb361-IMG_20190614_201702,3,3
00_20b5691e-20201201_130436_1,3,3
00_20d5f703-IMG_20190430_213225,1,1
00_22e2ca5d-IMG_20200228_102212,3,3
00_230a542d-20220702_204006,0,-1
00_232b1dfd-20220702_204017,0,0
00_23aa757c-20220325_210622,4,4
00_2550b53a-20220325_210727,4,4
00_255a153a-IMG_20200228_102115,3,3
00_275265b7-IMG_20191114_190719,3,-1
00_275da07b-IMG_20200830_110938,0,0
00_2a7d2305-IMG_20190614_202054,5,5
00_2dce915a-SAVE_20190918_210038,4,4
00_30c982c4-20220325_210753,4,0
00_33395cda-20220915_184704,3,3
00_3415cdd4-20210210_182117,2,4
00_37455ae2-20211215_192141,5,5
00_37b0e262-IMG_20191114_232043,4,4
00_38b711c4-20220718_220339,3,3
00_38c3f090-20221015_203553,2,2
00_3ad03d79-IMG_20200321_185426,2,2
00_3cc89682-IMG_20200901_173825,3,-1
00_3efccb2c-IMG_20200321_185404,2,-1
00_3f7eaa92-IMG_20200228_101927,3,3
00_40c3f18e-20220718_220356,3,3
00_4304f070-20230628_211156,1,-1
00_4362f9e0-IMG_20200118_153438,5,5
00_45333af3-IMG_20200228_101905,3,4
00_471071ce-IMG_20190618_200203,4,4
00_4888ef2e-20221217_210051,0,0
00_492eaa0d-20210203_213612,5,5
00_49754434-20201128_190313,3,-1
00_4a8425eb-IMG_20191209_124405,4,4
00_4bff583b-IMG_20190618_200309,4,-1
00_4e803bfb-IMG_20190615_075208,4,4
00_52464b59-20221015_203449,3,3
